Asset no.,Serial No,Product Name
25-252385,"37,507",VGA SPLITTER/MULTIPLIER
25-252615,"46,950",VGA SPLITTER/MULTIPLIER
025-00008247,F3HC-012-0102,VGA SPLITTER FS94A
025-00008249,F3HC-012-0335,VGA SPLITTER FS94A
025-00008327,F31-036-0048,VIDEO SPLITTER VS164 DVI 4 PORT
025-00007335,F3H7-045-0159,VGA SPLITTER FS94A
025-00008311,F31-036-0047,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008325,F31-036-0051,VIDEO SPLITTER VS164 DVI 4 PORT
25-255166,30645,VGA SPLITTER/MULTIPLIER
25-255651,"A-45,200",VGA SPLITTER 4 WAY
25-255654,"A-45,205",VGA SPLITTER 4 WAY
025-00007580,F3HA-039-0497,VGA SPLITTER FS94A
025-00008248,F3HC-012-0104,VGA SPLITTER FS94A
025-00008314,F31-036-0045,VIDEO SPLITTER VS164 DVI 4 PORT
25-253795,82644,VGA SPLITTER/MULTIPLIER
25-255940,A-S4056,VGA SPLITTER/MULTIPLIER
025-00007330,F3H7-045-0151,VGA SPLITTER FS94A
025-00007333,F3H7-045-0157,VGA SPLITTER FS94A
025-00008324,F31-036-0053,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008870,F31-035-0300,VGA SPLITTER FS94A
025-00008878,F31-035-0248,VGA SPLITTER FS94A
025-00008312,F31-036-0046,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008326,F31-036-0054,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008880,F31-035-0070,VGA SPLITTER FS94A
025-00007336,F3H7-045-0160,VGA SPLITTER FS94A
025-00008872,F31-035-0244,VGA SPLITTER FS94A
025-00009451,Z3JB-171-0224,VGA SPLITTER FS94A
025-00010792,Z3MS-084-0020,VGA SPLITTER FS94A
025-00008873,F31-035-0250,VGA SPLITTER FS94A
025-00009465,Z3JB-171-0235,VGA SPLITTER FS94A
025-00010793,Z3MS-084-0002,VGA SPLITTER FS94A
025-00008316,F31-036-0042,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008871,F31-035-0243,VGA SPLITTER FS94A
025-00008245,F3HC-012-0109,VGA SPLITTER FS94A
025-00008318,F31-036-0041,VIDEO SPLITTER VS164 DVI 4 PORT
025-00008322,F31-036-0057,VIDEO SPLITTER VS164 DVI 4 PORT
025-00009459,Z3JB-171-0222,VGA SPLITTER FS94A
25-255167,A-30894,VGA SPLITTER/MULTIPLIER
025-00007327,F3H7-045-0141,VGA SPLITTER FS94A
025-00008313,F31-036-0043,VIDEO SPLITTER VS164 DVI 4 PORT
025-00009666,FA31A-035-0072,VGA SPLITTER FS94A
025-00008242,F3HC-012-0107,VGA SPLITTER FS94A
025-00008874,F31-035-0295,VGA SPLITTER FS94A
25-258610,A83780,VGA SPLITTER/MULTIPLIER
025-00007581,F3HA-039-0494,VGA SPLITTER FS94A
025-00009665,FA31A-035-0069,VGA SPLITTER FS94A
025-00009871,F31A-035-0076,VGA SPLITTER FS94A
025-00007328,F3H7-045-0142,VGA SPLITTER FS94A
025-00009453,Z3JB-171-0221,VGA SPLITTER FS94A
